barcode,name,manufacturld,description,unitQty,Quantity,bIsWeighted,QtyInPackage,ItemPrice,AmountInStock
7290000446776,אורז תפוח קל,,אורז תפוח קל,גרמים,500,0,0,18.9,76
7290000449128,פנטסטיק רגיל 4 ליטר,565,פנטסטיק לניקוי,ליטרים,4,0,0,17.9,52
7290000450209,טונה פוסידון בשמן 108גרם,858,טונה פוסידון,גרמים,108,0,0,6,30
7290000453019,שמרית-שמרים לחים 50 גרם,847,שמרית-שמרים טרי,גרמים,50,0,0,4.2,93
7290000453408,בצק פיצה דק מצונן 415 גר,96,בצק פיצה מצונן,גרמים,415,0,1,16.9,78
7290000453415,בצק עלים לאפייה מצונן300,96,בצק עלים מצונן,גרמים,300,0,1,14.9,13
7290000453422,בצק פילו לאפייה מצונן300,96,בצק פילו מצונן,גרמים,300,0,1,14.9,28
7290000453439,בצק פריך לאפייה מצונן280,96,בצק פריך מצונן,גרמים,280,0,1,14.9,3
7290000453866,נטורינה קוקוס 200 גרם,846,נטורינה קוקוס,גרמים,200,0,1,7.4,30
7290000461625,בייגלה שמיניות מלוח400גר,328,בייגלה שמיניות,גרמים,400,0,0,10.4,41
7290000461656,בייגל אחד אחד 400 גרם,328,בייגלה מקלות,גרמים,400,0,0,10.4,17
7290000462141,זחוק אדום חריף מאוד 150ג,483,זחוק אדום חריף,גרמים,150,0,0,7.9,63
7290000462172,סחוג זהבי ירוק 150 גרם,483,סחוג זהבי ירוק,גרמים,150,0,0,7.9,66
7290000467320,מלך חומוס אבו מרוואן400ג,800,מלך החומוס צבר,גרמים,400,0,0,14.1,40
7290000474021,חלב 3% מפוסטר שקית 1 ל',536,חלב 3% בשקית 1 ל,ליטרים,1,0,0,5.17,3
7290000474090,חלב הומוגני 1% קרטון 1 ל,705,חלב טרי טרה 1%,ליטרים,1,0,0,5.59,95
7290000474502,גבינה לבנה 5% טרה 250 גר,536,גבינה לבנה 5%,גרמים,250,0,0,4.75,68
7290000474540,גבי. טוב טעם 3% 250גרם,536,גבינת טוב טעם3%,גרמים,250,0,0,10.9,54
7290000480107,קוואקר שיבולת שועל פח500,934,קוואקר שיבולת,גרמים,500,0,0,11.9,67
7290000480442,קוואקר באריזת אלומינ500ג,842,קוואקר,גרמים,500,0,0,12.8,74
7290000481029,פיתות בטעם ביתי 10 יחידו,412,פיתות בטעם ביתי,יחידה,1,0,1,9.9,71
7290000481531,לחמניות חיטה מלאה75*10גר,412,10לחמניות ח.מלאה,גרמים,750,0,0,11.9,31
7290000481883,לחמניות אצבע 75*10 גרם,412,לחמניות אצבע10יח,גרמים,750,0,0,11.9,43
7290000482071,קוקי שקיות אפיה 20 יחי,1005,קוקי שקיות אפיה,יחידה,1,0,0,19.9,22
7290000484747,"עלית הארק 700 מ""ל",590,עלית הארק,מיליליטרים,700,0,1,54.9,83
7290000490625,מאגדת בטעם שוקו 8יח',878,מאגדת בטעם שוקו,יחידה,1,0,1,19.8,48
