PriceUpdateDate;ItemCode;ItemType;ItemName;ManufacturerName;ManufactureCountry;ManufacturerItemDescription;UnitQty;Quantity;bIsWeighted;UnitOfMeasure;QtyInPackage;ItemPrice;UnitOfMeasurePrice;AllowDiscount;ItemStatus
2017-05-03 09:06;7290107936309;1;דנונה יווני לבן 7% 130גר;"שטראוס גרופ בע""\מ";IL;דנונה יווני;גרמים;130.00;0;100 גרם;1;3.50;2.69;1;1
2018-02-20 07:22;7290107936460;1;דנכול בטעם מעודן 100*8גר;"שטראוס גרופ בע""\מ";IL;דנכול מעודן 8 יח;גרמים;800.00;0;100 גרם;1;29.60;3.70;1;1
2020-07-28 09:12;7290107936958;1;עד חצות אצבעות 125 גרם;ביסקוויטס טור ד'\אלבון;FR;עד חצות אצבעות;גרמים;125.00;0;100 גרם;1;9.90;7.92;1;1
2018-01-02 06:24;7290107936965;1;עד חצות עיגולים 225 גרם;עלית;FR;עד חצות עיגולים;גרמים;230.00;0;100 גרם;1;12.90;5.61;1;1
2016-08-16 08:57;7290107938396;1;"מארז אקטימל תות 100*8מ""ל";"שטראוס בריאות בע""\מ";IL;אקטימל תות 8יח';מיליליטרים;800.00;0;"100 מ""ל";1;20.90;2.61;1;1
2021-03-01 04:10;7290107939003;1;"עד חצות לבן אגוזים כשל""פ";"שטראוס גרופ בע""\מ";IL;עד חצות לבן;גרמים;190.00;0;100 גרם;1;10.00;5.26;1;1
2016-12-20 10:18;7290107942232;1;מעדן ספלנדיד שוק.חלב130ג;"שטראוס גרופ בע""\מ";IL;מעדן ספלנדיד;גרמים;130.00;0;100 גרם;1;3.30;2.54;1;1
2018-02-20 07:20;7290107942355;1;תפוצ'יפס מקלות ט.טבעי60ג;עלית;IL;תפוצ'יפס מקלות;גרמים;60.00;0;100 גרם;1;4.00;6.67;1;1
2020-07-28 09:13;7290107942454;1;ממרח פסק זמן מגדים700ג;"שטראוס גרופ בע""\מ";IL;ממרח פסק זמן;גרמים;700.00;0;100 גרם;1;22.90;3.27;1;1
2017-12-18 09:17;7290107943192;1;שמנת חמוצ.מהערבה27% 200מ;מחלבת יטבתה;IL;שמנת חמוצה 27%;מיליליטרים;200.00;0;"100 מ""ל";1;3.90;1.95;1;1
